aggregate,rank
96.22,81
94.94,185
94.89,188
94.78,207
94.72,215
94.06,308
93.89,332
93.83,346
93.28,435
92.78,512
92.61,549
92.50,575
92.50,587
92.33,632
92.00,715
91.11,928
91.06,940
90.94,982
90.94,979
90.56,1083
90.50,1106
90.50,1093
90.33,1157
90.17,1214
90.00,1245
89.83,1298
89.72,1334
89.67,1363
89.67,1341
89.44,1457
89.28,1511
89.17,1579
88.89,1696
88.89,1688
88.67,1799
88.56,1846
88.50,1860
88.06,2041
88.06,2048
87.61,2236
87.61,2245
87.61,2237
87.56,2261
87.44,2321
87.28,2399
87.17,2447
87.11,2471
87.00,2539
87.00,2542
86.89,2584
86.78,2639
86.78,2651
86.56,2777
86.50,2801
86.50,2797
86.39,2860
86.39,2857
86.39,2853
86.28,2925
86.17,2993
86.17,2979
86.17,3000
86.06,3039
86.00,3098
85.83,3206
85.83,3187
85.83,3199
85.78,3229
85.72,3284
85.67,3320
85.67,3314
85.67,3330
85.56,3377
85.56,3399
85.44,3466
85.39,3505
85.39,3507
85.17,3678
85.00,3804
84.78,3943
84.72,3987
84.67,4043
84.61,4066
84.61,4059
84.61,4062
84.33,4304
84.28,4340
84.17,4421
83.89,4657
83.72,4773
83.67,4819
83.61,4870
83.61,4847
83.56,4926
83.56,4937
83.56,4936
83.50,4952
83.44,5013
83.28,5177
83.11,5310
83.11,5316
83.06,5403
83.00,5459
82.83,5609
82.61,5822
82.50,5891
82.44,5940
82.44,5959
82.39,6007
82.33,6086
82.28,6123
82.28,6115
82.11,6273
82.00,6406
82.00,6430
81.78,6643
81.67,6773
81.67,6790
81.61,6850
81.56,6920
81.28,7242
81.28,7252
81.28,7234
81.22,7295
81.17,7351
81.11,7443
81.11,7420
80.61,7995
80.39,8315
80.33,8377
80.28,8421
80.22,8487
80.17,8585
80.17,8554
80.11,8662
80.06,8723
79.94,8870
79.94,8876
79.89,8942
79.89,8945
79.89,8946
79.89,8979
79.78,9088
79.72,9178
79.67,9261
79.67,9249
79.67,9275
79.61,9314
79.50,9503
79.44,9555
79.44,9550
79.33,9769
79.28,9830
79.22,9952
79.17,9983
79.00,10251
79.00,10248
78.94,10385
78.78,10630
78.78,10616
78.28,11340
78.17,11476
78.11,11571
78.06,11714
78.06,11654
78.00,11763
77.94,11903
77.83,12020
77.78,12113
77.72,12176
77.72,12181
77.67,12274
77.56,12445
77.56,12448
77.50,12579
77.44,12697
77.44,12732
77.39,12772
77.39,12801
77.39,12770
77.39,12833
77.39,12809
77.33,12861
77.22,13080
77.22,13062
77.22,13037
77.00,13446
76.94,13563
76.94,13511
76.94,13561
76.83,13723
76.67,14102
76.67,14039
76.50,14341
76.44,14446
76.28,14814
76.22,14901
76.11,15132
76.00,15322
75.94,15409
75.89,15548
75.83,15607
75.78,15736
75.72,15842
75.67,15947
75.67,15991
75.61,16047
75.61,16136
75.56,16183
75.50,16328
75.50,16317
75.44,16457
75.44,16378
75.44,16397
75.39,16492
75.33,16678
75.28,16772
75.28,16698
75.22,16849
75.17,16937
75.11,17103
74.94,17494
74.72,17864
74.72,17906
74.67,18041
74.67,18000
74.56,18249
74.56,18229
74.50,18405
74.39,18578
74.39,18611
74.39,18617
74.28,18865
74.17,19075
74.17,19050
74.17,19108
74.11,19214
74.06,19268
73.78,19966
73.72,20029
73.72,20107
73.67,20192
73.61,20377
73.56,20454
73.56,20457
73.56,20481
73.56,20459
73.50,20709
73.50,20616
73.39,20926
73.39,20934
73.33,21121
73.11,21598
73.11,21543
73.06,21770
73.00,21952
72.94,21965
72.94,21997
72.78,22410
72.78,22502
72.67,22738
72.61,22896
72.56,22974
72.50,23152
72.33,23631
72.33,23643
72.22,23819
72.22,23810
72.22,23914
72.17,24040
72.17,24029
72.11,24127
72.11,24231
72.06,24420
72.00,24569
71.94,24655
71.89,24878
71.89,24907
71.83,24934
71.83,25018
71.83,24945
71.78,25117
71.78,25172
71.78,25086
71.72,25299
71.67,25462
71.61,25651
71.56,25753
71.56,25786
71.50,25882
71.50,25939
71.39,26206
71.39,26277
71.33,26433
71.33,26322
71.28,26483
71.22,26718
70.89,27780
70.89,27733
70.78,28130
70.72,28218
70.72,28226
70.67,28361
70.67,28502
70.61,28651
70.61,28598
70.56,28739
70.44,29052
70.44,29204
70.44,29106
70.39,29358
70.39,29268
70.39,29258
70.39,29263
70.39,29217
70.33,29441
70.33,29415
70.33,29530
70.33,29556
70.28,29664
70.22,29823
70.17,30017
70.17,29984
70.17,29970
70.11,30162
70.06,30274
70.06,30388
70.00,30478
70.00,30454
70.00,30503
70.00,30507
69.94,30735
69.94,30647
69.89,30839
69.89,30938
69.83,31032
69.78,31275
69.78,31239
69.78,31251
69.72,31458
69.61,31808
69.56,32037
69.50,32200
69.50,32112
69.33,32606
69.33,32664
69.28,32811
69.22,33098
69.22,32982
69.11,33392
69.11,33391
69.11,33515
69.11,33407
68.94,33978
68.94,33984
68.94,33957
68.89,34085
68.83,34253
68.78,34499
68.78,34582
68.72,34678
68.72,34739
68.56,35224
68.56,35208
68.56,35244
68.56,35315
68.56,35345
68.50,35458
68.50,35390
68.50,35437
68.44,35570
68.17,36782
68.11,36834
68.06,37205
68.00,37259
68.00,37347
67.94,37637
67.94,37536
67.94,37473
67.94,37634
67.94,37632
67.89,37741
67.89,37860
67.89,37706
67.89,37898
67.89,37796
67.83,37993
67.72,38367
67.72,38445
67.56,39027
67.56,38937
67.50,39251
67.28,40174
67.11,40715
67.11,40758
67.06,40896
67.06,40941
67.00,41313
67.00,41221
66.94,41453
66.83,41833
66.83,41790
66.78,42031
66.78,42028
66.72,42407
66.67,42560
66.61,42932
66.61,42754
66.56,42951
66.56,43060
66.56,43022
66.44,43561
66.44,43476
66.44,43408
66.44,43459
66.33,43923
66.33,44040
66.28,44179
66.28,44115
66.22,44362
66.22,44444
66.11,44858
66.11,44941
66.11,44853
66.06,45174
66.00,45282
65.94,45710
65.89,45917
65.89,45935
65.89,45936
65.78,46350
65.78,46294
65.78,46349
65.72,46589
65.67,46802
65.67,46904
65.67,46964
65.56,47524
65.56,47480
65.50,47699
65.44,47966
65.39,48266
65.39,48166
65.33,48423
65.33,48516
65.28,48715
65.28,48635
65.28,48624
65.28,48696
65.22,48903
65.22,49057
65.17,49233
65.17,49200
65.17,49307
65.11,49517
65.11,49516
65.06,49939
65.06,49953
65.00,50042
64.83,50905
64.83,50998
64.78,51218
64.67,51618
64.67,51806
64.56,52397
64.56,52329
64.56,52224
64.56,52385
64.44,52898
64.44,52947
64.44,52878
64.44,52694
64.39,52967
64.33,53237
64.33,53413
64.33,53463
64.28,53734
64.28,53639
64.22,53915
64.22,53953
64.22,54006
64.11,54504
64.06,54858
64.06,54811
64.00,55104
64.00,54882
64.00,54891
63.89,55502
63.89,55462
63.78,56088
63.78,55946
63.78,56166
63.72,56481
63.67,56561
63.61,56983
63.61,56834
63.50,57666
63.50,57767
63.44,57990
63.33,58446
63.22,59082
63.22,59160
63.11,59602
63.11,59776
63.06,60127
63.06,59869
63.06,59888
63.00,60340
63.00,60462
63.00,60160
62.94,60703
62.89,61078
62.89,61083
62.83,61471
62.78,61482
62.61,62541
62.61,62523
62.56,62994
62.56,62717
62.56,62753
62.39,63892
62.33,64315
62.33,64273
62.28,64415
62.28,64505
62.28,64457
62.28,64396
62.22,64933
62.22,64863
62.17,65254
62.17,65309
62.11,65395
62.11,65627
62.00,66061
62.00,66284
61.94,66705
61.94,66426
61.94,66662
61.83,67062
61.78,67387
61.78,67418
61.72,67779
61.72,67747
61.72,67841
61.72,67820
61.72,67755
61.72,67955
61.67,68082
61.61,68412
61.61,68476
61.61,68417
61.61,68449
61.61,68440
61.61,68607
61.61,68593
61.56,68919
61.56,68791
61.44,69759
61.44,69518
61.44,69661
61.39,70157
61.33,70202
61.22,71181
61.22,71122
61.06,72219
61.06,72052
60.94,73020
60.94,73092
60.89,73194
60.83,73496
60.83,73529
60.83,73742
60.83,73762
60.83,73737
60.78,73942
60.72,74289
60.67,74764
60.67,74537
60.67,74589
60.61,75005
60.56,75335
60.50,75850
60.33,76851
60.33,76968
60.33,77088
60.33,76994
60.22,77634
60.22,77702
60.22,77769
60.17,77876
60.17,77951
60.11,78381
60.11,78378
60.06,78559
60.06,78846
60.00,79060
59.94,79719
59.94,79377
59.94,79378
59.89,80064
59.89,80053
59.89,79753
59.83,80308
59.83,80154
59.78,80540
59.72,80848
59.67,81410
59.61,81879
59.61,81891
59.56,82333
59.56,82015
59.56,82039
59.56,82086
59.56,82016
59.44,83129
59.33,83620
59.33,83960
59.22,84477
59.17,84863
59.11,85568
59.06,85733
59.00,86032
59.00,86217
59.00,86096
58.94,86717
58.89,87007
58.89,86953
58.89,86829
58.83,87447
58.83,87467
58.83,87206
58.78,87963
58.78,87621
58.72,88024
58.61,89066
58.56,89254
58.50,89674
58.50,89730
58.44,90071
58.44,90390
58.39,90534
58.33,90993
58.28,91693
58.28,91412
58.22,91766
58.17,92415
58.17,92535
58.17,92309
58.11,92990
57.94,93851
57.89,94519
57.78,95155
57.78,95388
57.78,95224
57.78,95103
57.72,95788
57.72,95847
57.72,95647
57.61,96344
57.61,96666
57.61,96345
57.56,96983
57.50,97393
57.50,97228
57.50,97590
57.44,97634
57.33,98497
57.33,98514
57.33,98806
57.28,99216
57.22,99690
57.22,99307
57.22,99507
57.17,100119
57.17,100087
57.11,100468
57.06,100825
57.06,100898
57.06,100683
57.00,101257
57.00,101098
57.00,101079
56.94,101577
56.94,101646
56.83,102282
56.83,102554
56.83,102225
56.83,102540
56.72,103350
56.67,103485
56.67,103857
56.67,103665
56.61,104026
56.61,104010
56.61,104242
56.56,104642
56.50,104878
56.50,105133
56.44,105653
56.44,105439
56.44,105593
56.44,105591
56.39,106123
56.39,105916
56.39,106153
56.39,106058
56.39,105901
56.33,106298
56.33,106414
56.33,106545
56.33,106663
56.28,106857
56.28,106924
56.22,107192
56.11,108125
56.11,108154
56.11,108238
56.11,108315
56.06,108823
56.00,109114
56.00,109271
55.94,109755
55.94,109529
55.89,110002
55.83,110527
55.83,110425
55.83,110391
55.78,110829
55.78,110824
55.78,111058
55.72,111551
55.67,111776
55.61,112332
55.61,112390
55.61,112283
55.56,112643
55.56,112510
55.50,113061
55.50,113411
55.44,113532
55.44,113804
55.44,113843
55.39,114223
55.39,114326
55.39,114006
55.33,114686
55.28,115114
55.28,114882
55.28,115006
55.28,114909
55.22,115544
55.17,115808
55.17,116109
55.17,116232
55.17,115816
55.06,116987
55.06,116725
55.06,116885
54.94,118073
54.94,117790
54.89,118263
54.89,118172
54.89,118350
54.78,119122
54.78,119205
54.78,119093
54.78,119040
54.72,119712
54.72,119727
54.72,119715
54.61,120507
54.61,120383
54.56,121234
54.28,123513
54.28,123589
54.22,123872
54.22,123913
54.17,124129
54.17,124388
54.17,124253
54.11,124775
54.06,125043
54.00,125628
54.00,125794
53.94,126189
53.94,126065
53.89,126622
53.89,126498
53.83,126866
53.83,127095
53.83,127201
53.67,128335
53.61,128922
53.61,129103
53.61,128837
53.61,129048
53.56,129635
53.56,129300
53.50,130023
53.50,129791
53.44,130286
53.39,131114
53.39,130930
53.39,131125
53.33,131234
53.28,131676
53.22,132568
53.17,132615
53.17,132721
53.06,133543
53.06,133531
53.00,134079
53.00,133944
52.94,134407
52.94,134526
52.94,134557
52.89,134977
52.89,135040
52.83,135613
52.83,135712
52.78,135883
52.78,135827
52.72,136364
52.72,136266
52.72,136467
52.72,136578
52.61,137390
52.61,137317
52.61,137483
52.61,137515
52.56,137887
52.56,137715
52.50,138553
52.50,138572
52.50,138160
52.50,138153
52.44,138958
52.39,139231
52.33,139613
52.33,139766
52.33,139732
52.22,140765
52.22,140801
52.22,140485
52.22,140846
52.17,141341
52.17,140990
52.06,142065
52.06,141967
51.94,143221
51.94,143134
51.94,143078
51.83,143795
51.72,144886
51.67,145175
51.67,145204
51.67,145629
51.61,145655
51.61,145966
51.50,147067
51.44,147379
51.44,147610
51.44,147316
51.39,148014
51.39,147829
51.39,147708
51.39,147996
51.33,148317
51.33,148196
51.33,148502
51.28,148920
51.17,149821
51.17,149811
51.17,149655
51.17,149736
51.17,150014
51.17,149903
51.11,150465
51.06,150992
51.00,151459
51.00,151170
51.00,151178
50.94,151709
50.94,151564
50.89,152317
50.89,152326
50.89,152069
50.83,152955
50.72,153827
50.67,154285
50.61,154604
50.50,155711
50.50,155721
50.50,155533
50.50,155395
50.50,155611
50.44,155864
50.44,156167
50.44,155980
50.39,156423
50.39,156727
50.33,157156
50.28,157373
50.28,157325
50.22,157842
50.22,158047
50.17,158236
50.17,158677
50.11,159096
50.11,158691
50.11,158806
50.11,158919
50.06,159275
50.06,159617
50.06,159210
50.06,159429
49.94,160267
49.94,160385
49.89,160705
49.89,160700
49.89,160641
49.83,161195
49.83,161232
49.78,161676
49.78,161800
49.67,162482
49.61,162974
49.61,162936
49.61,163125
49.56,163394
49.50,163823
49.50,163867
49.50,163777
49.50,164050
49.50,163767
49.44,164355
49.39,164832
49.33,165684
49.33,165590
49.22,166546
49.17,166658
49.17,166717
49.17,166867
49.11,167109
49.11,167326
49.06,167648
